"","first_name","last_name","team","position","floor","ceiling","points_vor","adp","rank"
"82","Marquise","Goodwin","SFO","WR",58.09,183.38218534652,6.67890458776145,77.5966666666667,85
"83","Corey","Davis","TEN","WR",136.5105,180.529136283851,6.58673447178285,76.475,86
"84","Tony","Romo","FA","QB",325.96,325.96,4.92933333333337,NA,87
"85","Philip","Rivers","LAC","QB",285.61,339.6073,4.23533333333336,110.673333333333,88
"86","Emmanuel","Sanders","DEN","WR",129.29,182.999185699418,3.60068462777556,81.08,89
"87","Carson","Wentz","PHI","QB",285.76058,365.412,3.58733333333333,75.0216666666667,90
"88","Jamison","Crowder","WAS","WR",129.639439528176,172.909606135001,2.56068462777557,102.526666666667,91
"89","Los Angeles","Rams","LAR","DST",88.61,134.3915,2.12916666666666,91.8033333333333,92
"90","George","Kittle","SFO","TE",100.131,135.459692378769,1.9444817599305,132.805,93
"91","Cooper","Kupp","LAR","WR",139.5489,167.20409928526,1.87991986494885,96.6433333333333,94
"92","Matt","Ryan","ATL","QB",301.142,349.45,1.81033333333335,110.595,95
"93","Duke","Johnson","CLE","RB",123.985,157.6515,1.161,107.413333333333,96
"94","Marlon","Mack","IND","RB",107.852200723961,172.53425,0.486500000000007,105.14,97
"95","Jared","Cook","OAK","TE",100.134,127.2595,-0.391236199778035,159.762,98
"96","Sammy","Watkins","KCC","WR",125.022153356847,160.573,-0.506926672030318,94.5566666666667,99
"97","Baltimore","Ravens","BAL","DST",86.21,130.7,-0.715833333333322,122.186666666667,100
"98","Alshon","Jeffery","PHI","WR",123,172.35,-1.3729931929185,81.365,101
"99","Philadelphia","Eagles","PHI","DST",87.965,132.66,-1.41333333333334,100.226666666667,102
"100","David","Njoku","CLE","TE",84.6664,135.86839497393,-1.55324556015245,114.928333333333,103
"101","Kerryon","Johnson","DET","RB",112.3025,180.769873465146,-1.64749999999998,85.2366666666667,104
"102","Rex","Burkhead","NEP","RB",76.3819689921555,175.434,-1.80967896289221,79.3816666666667,105
"103","Jordy","Nelson","OAK","WR",112.514598406624,188.59357846119,-1.82255376829212,102.251666666667,106
"104","Peyton","Barber","TBB","RB",88.81285,170.7948,-3.21850089071904,107.931666666667,107
"105","Los Angeles","Chargers","LAC","DST",83.995,129.7,-3.40583333333333,116.406666666667,108
"106","Darren","McFadden","FA","RB",134.5,134.5,-3.58349999999999,NA,109
"107","Nelson","Agholor","PHI","WR",134.889074936967,162.17007762002,-3.69281461807662,112.03,110
"108","Eric","Ebron","IND","TE",84.13335,130.62596275816,-4.46228565695536,162.371666666667,111
"109","Minnesota","Vikings","MIN","DST",88.975,122.659,-4.78083333333333,96.8766666666667,112
"110","Tyler","Eifert","CIN","TE",81.5,124.827988669659,-4.91224186494854,135.758333333333,113
"111","Chris","Thompson","WAS","RB",69.025,165.3,-4.96799999999996,92.5633333333333,114
"112","DeMarco","Murray","FA","RB",132.8,132.8,-5.28349999999998,104.135,115
"113","Jared","Goff","LAR","QB",299.308,334.04518,-5.39766666666662,120.616666666667,116
"114","Jimmy","Garoppolo","SFO","QB",292.4684,340.17464,-5.61066666666665,97.4316666666667,117
"115","Alex","Smith","WAS","QB",282.84,337.9727,-6.18606666666665,135.056666666667,118
"116","Isaiah","Crowell","NYJ","RB",103.844541366637,161.7425,-6.52549999999999,96.915,119
"117","Sterling","Shepard","NYG","WR",119.5925,157.484017392247,-6.55445851714444,114.243333333333,120
"118","C.J.","Spiller","FA","RB",17.81,244.79,-6.78349999999998,NA,121
"119","Cameron","Brate","TBB","TE",79.6761579538334,121.765,-6.88173619977803,161.042,122
"120","Charles","Clay","BUF","TE",69.255,113.4405,-7.39773619977804,165.19,123
"121","Kirk","Cousins","MIN","QB",160.46,344.773,-7.71866666666665,80.335,124
"122","Will","Fuller","HOU","WR",114.7711,197.711323381158,-7.89973547314958,87.8083333333333,125
"123","Vance","McDonald","PIT","TE",63.666,126.16501424491,-8.02998619977804,188.73,126
"124","Houston","Texans","HOU","DST",77.938,129.25,-8.31083333333333,118.168333333333,127
"125","Dez","Bryant","FA*","WR",125.7565,217.526104697568,-8.36879188438346,156.4125,128
"126","Denver","Broncos","DEN","DST",78.45,124.4385,-8.58833333333334,129.011666666667,129
"127","Ryan","Mathews","FA","RB",129.1,129.1,-8.98349999999996,NA,130
"128","Austin","Seferian-Jenkins","JAC","TE",81.3547768765133,123.96848062954,-9.20419087333832,145.954,131
"129","Carolina","Panthers","CAR","DST",85.98,129.22,-9.24833333333335,161.27,132
"130","Kenny","Stills","MIA","WR",105.851,162.716570483767,-11.0213153722244,122.83,133
"131","Pittsburgh","Steelers","PIT","DST",77.905,122.75,-11.2933333333333,156.768333333333,134
"132","Tarik","Cohen","CHI","RB",108.2385,155.399531271742,-11.3573485778548,100.386666666667,135
"133","Detroit","Lions","DET","DST",85.735,113.65,-11.4133333333333,191.264,136
"134","Randall","Cobb","GBP","WR",116.541071692968,186.9115,-11.4636623612218,107.775,137
"135","Chicago","Bears","CHI","DST",72.115,126.5,-11.5233333333333,165.241666666667,138
"136","Kelvin","Benjamin","BUF","WR",104.925,169.685637749488,-11.5393153722244,118.555,139
"137","O.J.","Howard","TBB","TE",83.01585,124.576987514621,-11.8668364641182,155.082,140
"138","Matt","Breida","SFO","RB",80.9235,152.951125535066,-12.2017949681216,135.231666666667,141
"139","New England","Patriots","NEP","DST",81.295,121.25,-12.3533333333333,150.205,142
"140","Ricky","Seals-Jones","ARI","TE",85.7648,129.877068234262,-12.3990933426352,150.695,143
"141","Seattle","Seahawks","SEA","DST",72.24,121.854,-12.5833333333333,171.1975,144
"142","DeVante","Parker","MIA","WR",113.701730037677,174.855,-13.5685812213994,129.066666666667,145
"143","Ben","Watson","NOS","TE",61.075,123.681683255749,-13.833736199778,167.81,146
"144","Sony","Michel","NEP","RB",73.34785,192.2685,-14.0616793444438,92.62,147
"145","New Orleans","Saints","NOS","DST",84.17,114.736,-14.3608333333333,149.826666666667,148
"146","Adrian","Peterson","WAS","RB",82.6,228.63307094554,-14.786,118.143333333333,149
"147","Arizona","Cardinals","ARI","DST",75.96,112.9875,-15.0508333333333,178.006666666667,150
"148","Julian","Edelman","NEP","WR",106.9181,171.206,-15.1995105092965,92.365,151
"149","Patrick","Mahomes","KCC","QB",279.83462,325.8448,-15.3711666666666,119.728333333333,152
"150","Washington","Redskins","WAS","DST",81.835,122.048,-15.7133333333333,269.75,153
